,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,N_total_kg_per_Ha,P_total_kg_per_Ha,K_total_kg_per_Ha
138,1935.19,8.0,2.5,297.23,100.36,97.2
139,2039.91,13.0,2.5,297.01,99.32,108.0
140,2001.49,13.0,2.5,297.45,101.4,111.0
141,2034.25,15.0,2.5,297.56,101.92,111.0
142,1274.52,15.0,2.5,228.34,100.88,97.8
143,512.23,10.0,2.5,185.2,120.0,130.0
144,993.24,19.0,2.5,197.9,109.2,69.0
145,1109.08,18.0,2.5,213.3,182.0,75.0
146,1178.45,17.0,2.5,209.3,119.6,120.0
147,1145.55,14.0,2.5,209.3,119.6,120.0
148,1035.35,12.0,2.5,209.3,119.6,120.0
149,1107.87,24.0,2.5,200.28,76.96,103.2
150,1094.84,24.0,2.5,200.28,76.96,105.0
151,1150.63,24.0,2.5,203.57999999999998,92.56,103.2
152,1119.66,24.0,2.5,199.18,71.76,103.2
153,1057.6,21.0,2.5,199.18,71.76,82.2
154,1134.51,23.0,2.5,200.17000000000002,76.44,100.2
155,1131.96,22.0,2.5,206.0,104.0,102.0
156,1091.1,18.0,2.5,206.0,104.0,105.0
157,1040.93,19.0,2.5,212.6,135.2,132.0
158,785.26,23.0,2.5,185.6,108.0,122.0
159,1050.97,19.0,2.5,224.0,108.0,122.0
160,1153.82,24.0,2.5,224.0,108.0,122.0
161,1549.26,24.0,2.5,250.0,108.0,122.0
162,1085.45,22.0,2.5,204.0,108.0,122.0
163,459.49,19.0,2.5,141.4,124.8,132.0
164,1116.66,21.0,2.5,201.6,83.2,100.2
165,1040.41,15.0,2.5,200.28,76.96,100.2
166,1028.14,18.0,2.5,162.275,1.3,115.8
167,855.43,15.0,2.5,191.675,113.3,115.8
168,876.99,16.0,2.5,192.2,127.6,115.8
169,1088.88,16.0,2.5,199.4,112.0,115.8
170,824.26,24.0,2.5,171.5,73.5,96.0
171,727.1,21.0,2.5,171.5,73.5,96.0
172,-490.81,14.0,2.5,104.86000000000001,86.64,77.07
173,1092.64,24.0,2.5,210.84,126.88,105.0
174,1070.82,21.0,2.5,215.24,147.68,120.0
175,1114.04,22.0,2.5,216.34,152.88000000000002,120.0
176,960.06,26.0,2.5,198.94,109.38,120.0
177,1072.26,22.0,2.5,215.24,147.68,120.0
178,905.4,15.0,2.5,200.2,119.88,132.0
179,1001.87,20.0,2.5,201.16,81.12,80.4
180,1038.38,20.0,2.5,200.72,79.04,96.0
181,1057.15,20.0,2.5,216.34,152.88000000000002,120.0
182,1036.88,19.0,2.5,215.24,147.68,120.0
183,1011.75,23.0,2.5,206.44,106.08,105.0
184,-33.22,12.0,2.5,161.0,120.0,122.0
185,472.93,9.0,2.5,185.2,120.0,70.0
186,1204.59,12.0,2.5,235.04000000000002,145.6,130.2
187,371.18,15.0,2.5,132.6,83.2,96.0
188,1207.57,21.0,2.5,212.6,135.2,90.0
189,1334.76,16.0,2.5,236.0,93.6,102.0
190,1163.01,16.0,2.5,220.3,143.6,152.0
191,1281.43,15.0,2.5,236.0,93.6,102.0
192,456.07,9.0,2.5,185.2,120.0,130.0
193,865.97,26.0,2.5,171.5,73.5,96.0
194,870.72,26.0,2.5,172.0,77.0,192.0
195,-398.67,20.0,3.950561797752809,157.45,80.6,111.0
196,-53.86,20.0,3.2,137.53500000000003,77.22,109.98
197,-550.94,22.0,3.4,97.878,79.976,98.16
198,158.85,23.0,3.0,133.89999999999998,88.4,100.2
199,1125.68,20.0,2.459999918937683,204.9,98.8,108.0
200,106.79,25.0,2.8375000158945722,111.8,93.6,108.0
201,-1147.02,20.0,3.4375,19.8,93.6,120.0
202,441.3,15.0,3.330000000000003,213.7,140.4,138.0
203,874.36,21.0,2.9875,210.4,124.8,150.0
204,-1190.97,15.0,3.0355140186915888,15.0,90.0,120.0
205,-1410.83,15.0,3.318181818181818,15.0,90.0,120.0
206,-1190.97,15.0,3.0355140186915888,15.0,90.0,120.0
207,-1262.25,15.0,3.1419354838709674,15.0,90.0,120.0
208,-780.0,15.0,2.67,34.4,120.4,68.8
209,-784.57,15.0,2.66,34.4,120.4,68.8
210,-878.14,15.0,2.66,34.4,120.4,68.8
211,-815.78,15.0,2.76,34.4,120.4,68.8
212,-806.41,15.0,2.62,34.4,120.4,68.8
213,-892.81,15.0,2.8,34.4,120.4,68.8
214,-526.57,15.0,2.22,34.4,120.4,68.8
215,1050.18,15.0,2.2394736842105263,204.6,130.0,130.2
216,874.96,15.0,2.4363636363636365,204.6,130.0,130.2
217,924.29,24.0,2.6045454545454545,204.6,130.0,130.2
218,-560.47,15.0,3.525,130.20000000000002,93.6,120.0
219,-1596.85,9.0,3.595,19.8,93.6,120.0
220,10.59,9.0,3.3649999999999998,185.95000000000002,96.2,120.0
221,1227.33,15.0,2.5,247.0,120.0,160.0
222,1227.33,15.0,2.5,247.0,120.0,160.0
223,-43.81,21.0,3.8,187.76,135.2,120.0
224,295.39,21.0,3.4,189.14,135.2,111.0
225,120.65,24.0,3.6,179.88,93.6,103.8
226,486.58,17.0,3.4,210.98,88.4,114.0
227,67.82,22.0,1.6620000000000001,19.8,93.6,114.0
228,-677.41,20.0,3.7,111.8,93.6,90.0
229,1029.05,15.0,2.5,213.0,93.6,108.0
230,245.89,21.0,3.6,201.6,83.2,108.0
231,216.15,17.0,3.5,200.39999999999998,88.4,108.0
232,1629.12,19.0,2.0926829268292684,232.5,98.8,108.0
233,359.61,16.0,3.5,208.4,93.6,90.0
234,-7.88,17.0,1.825,20.9,98.8,108.0
235,157.5,17.0,1.5182795698924731,19.8,93.6,90.0
236,55.05,14.0,3.546875,187.60000000000002,104.0,132.0
237,563.59,15.0,3.1,206.0,104.0,108.0
238,1019.7,15.0,2.5,232.0,120.0,120.0
239,-195.48,15.0,2.845833333333333,237.5,105.0,120.0
240,754.39,15.0,3.0529411764705885,242.0,105.0,155.0
241,1094.21,15.0,2.5821428571428573,242.0,105.0,35.0
242,991.57,15.0,2.6923076923076925,242.0,105.0,120.0
243,904.21,22.0,2.988888889,217.22,157.04,120.0
244,2003.94,17.0,1.982222222,263.0,156.0,139.8
245,486.93,15.0,3.2851851850000005,217.0,156.0,138.0
246,1290.53,17.0,2.23,221.6,156.0,120.0
247,212.07,24.0,2.66,204.5,128.0,56.0
248,525.88,23.0,2.25,137.0,128.0,56.0
249,-501.85,20.0,2.45,56.0,128.0,56.0
250,-367.94,20.0,2.74,96.5,128.0,56.0
251,-447.93,20.0,2.88,96.5,128.0,56.0
252,286.75,19.0,2.45,204.5,56.0,128.0
253,420.36,23.0,2.41,204.5,128.0,56.0
254,327.75,21.0,2.45,204.5,56.0,128.0
255,232.41,20.0,2.5,137.0,128.0,56.0
256,306.89,19.0,2.6,150.8,104.0,108.0
257,283.84,21.0,2.7,150.8,104.0,108.0
258,-293.4,19.0,3.4,150.8,104.0,108.0
259,78.75,20.0,2.9,150.8,104.0,108.0
260,14.22,20.0,3.1,150.8,104.0,108.0
261,1081.32,17.0,2.5,230.1,129.5,18.5
262,863.47,10.0,2.293846153846154,198.17000000000002,92.6,120.0
263,-254.38,13.0,3.785454545454545,184.37,92.6,120.0
264,9.29,12.0,3.2555555555555555,184.59,93.64,168.0
265,945.65,24.0,2.7826666666666666,206.44,106.08,90.0
266,1256.69,23.0,2.2,207.04000000000002,102.68,132.6
267,525.31,20.0,3.1,207.04000000000002,102.68,132.0
268,917.24,21.0,2.6,207.04000000000002,102.68,132.0
269,155.08,15.0,2.5,121.7,140.4,138.0
270,1291.91,19.0,2.5,252.8,112.0,64.0
271,1070.86,20.0,2.8705882352941177,228.51999999999998,120.64,132.0
272,-161.42,14.0,3.2375,144.72,105.04,120.0
273,1079.74,18.0,2.803125,228.85,122.19999999999999,120.0
274,1470.48,20.0,2.34375,228.85,122.19999999999999,132.0
275,1054.28,17.0,2.771875,227.2,114.4,120.0
276,161.83,15.0,2.8657142857142857,147.8,119.6,120.0
277,995.21,19.0,2.9611111111111112,228.74,121.67999999999999,132.0
278,1525.87,18.0,2.1638888888888888,228.51999999999998,120.64,120.0
279,652.68,16.0,3.203333333333333,228.51999999999998,120.64,120.0
280,553.37,19.0,3.55625,228.51999999999998,120.64,132.0
281,826.22,21.0,3.17,228.51999999999998,120.64,132.0
282,-109.83,11.0,3.6208333333333336,200.0,118.4,120.0
283,-113.96,14.0,3.6583333333333337,200.0,118.4,120.0
284,4.76,11.0,3.6125,200.0,118.4,120.0
285,201.58,11.0,3.201639344262295,200.0,118.4,120.0
286,-199.84,14.0,3.7786885245901636,200.0,118.4,120.0
287,-219.87,13.0,3.756666666666667,200.0,118.4,120.0
288,74.28,13.0,2.55,204.5,56.0,128.0
289,127.18,15.0,2.55,204.5,56.0,132.8
290,193.44,15.0,2.46,204.5,56.0,128.0
291,215.73,15.0,2.43,204.5,56.0,128.0
292,128.99,9.0,2.375,204.5,56.0,128.0
293,-121.4,15.0,3.6484848484848484,159.3,114.4,114.0
294,-140.26,15.0,3.574647887323944,159.3,112.2,114.0
295,1363.32,16.0,1.8857142857142857,209.0,70.0,97.0
296,1199.44,15.0,1.7,209.0,70.0,97.0
297,949.9,15.0,2.20625,196.65,70.84,72.0
298,1283.56,11.0,1.586111111111111,196.65,93.61,72.0
299,1303.87,17.0,1.9933333333333334,209.0,70.0,97.0
300,890.51,12.0,2.225,209.0,70.0,97.0
301,1038.11,21.0,2.5,198.33,105.16,120.0
302,205.61,19.0,2.5,109.22,103.6,120.0
303,1306.64,12.0,1.5,209.0,70.0,97.0
304,595.45,19.0,3.1,210.8,108.0,162.0
305,661.0,18.0,3.1,220.0,108.0,162.0
306,1104.08,22.0,2.5,206.44,106.08,120.0
307,1091.39,23.0,2.5,206.44,106.08,120.0
308,1029.89,20.0,2.5,206.44,106.08,120.0
309,-567.71,13.0,3.7258061608602837,125.30000000000001,78.0,84.0
310,-410.53,22.0,3.641414141414141,128.5,78.0,66.0
311,383.8,13.0,2.5,131.7,78.0,84.0
312,567.91,27.0,2.8,171.5,77.7,90.0
313,56.43,27.0,3.5,171.5,77.7,120.0
314,1327.21,23.0,1.6800000000000002,145.0,104.0,120.0
315,1293.0,17.0,1.5666666666666667,145.0,104.0,120.0
316,835.69,26.0,2.4511111111111115,145.0,104.0,120.0
317,571.3,24.0,2.542222222222222,143.0,92.0,120.0
318,1420.99,25.0,1.551923076923077,145.0,104.0,120.0
319,546.65,12.0,2.69875,194.0,94.0,90.0
320,643.77,19.0,2.89,194.0,94.0,90.0
321,767.85,18.0,2.635,194.0,94.0,90.0
322,706.31,17.0,2.7625,194.0,94.0,90.0
323,950.91,17.0,2.38,194.0,94.0,90.0
324,-1154.65,15.0,2.93,10.0,94.0,90.0
325,83.5,17.0,3.3,180.7,77.7,102.0
326,349.32,29.0,3.1,171.5,77.7,78.0
327,116.95,27.0,3.35,171.5,77.7,78.0
328,401.31,30.0,3.05,171.5,77.7,78.0
329,-768.13,15.0,2.8,38.0,91.2,38.0
330,-360.06,20.0,3.325,115.1,109.2,102.0
331,772.27,12.0,2.7125,207.65,111.8,120.0
332,1047.35,11.0,2.2285714285714286,207.65,111.8,120.0
333,1158.87,16.0,2.18125,207.65,111.8,120.0
334,1095.32,14.0,2.1707317073170733,207.65,111.8,120.0
335,945.5,17.0,2.7564102564102564,153.8,93.6,120.0
336,2071.85,23.0,2.5,210.0,104.0,120.0
337,928.75,13.0,2.661904761904762,153.8,93.6,108.0
338,326.57,16.0,2.6166666666666667,153.8,93.6,90.0
339,572.75,25.0,2.5,108.1,83.2,120.0
340,1915.66,25.0,2.7564102564102564,210.0,104.0,120.0
341,1348.88,14.0,2.5708333333333333,206.4,78.4,134.8
342,1061.97,16.0,2.5278260869565217,153.8,93.6,120.0
343,354.92,15.0,3.2,206.4,112.0,120.0
344,131.19,15.0,3.5,203.2,96.0,108.0
345,109.16,15.0,3.6,203.2,96.0,108.0
346,1055.45,15.0,2.3,203.2,96.0,108.0
347,848.81,22.0,2.7071428571428573,203.2,96.0,90.0
348,995.0,19.0,2.4,203.2,96.0,90.0
349,635.2,17.0,3.046875,156.4,78.4,164.8
350,863.69,15.0,2.5,215.4,108.0,168.0
351,514.75,15.0,3.1,220.0,108.0,162.0
352,580.45,15.0,3.1,220.0,108.0,174.0
353,105.64,9.0,3.540625,191.34,121.67999999999999,138.0
354,546.63,10.0,2.8833333333333333,191.34,121.67999999999999,138.0
355,436.83,12.0,2.940625,177.32000000000002,120.64,138.0
356,1132.28,20.0,2.59,203.57999999999998,92.56,102.0
357,947.94,20.0,2.6862500000000002,215.24,147.68,90.0
358,330.49,24.0,3.8146874999999993,215.79,150.28,90.0
359,315.95,20.0,3.5370000000000004,215.24,147.68,90.0
360,360.39,19.0,3.5774999999999997,215.24,147.68,120.0
361,2525.0,24.0,1.5891891891891892,271.55,132.6,108.0
362,2560.11,21.0,1.5192307692307692,271.77,133.64000000000001,108.0
363,1974.12,20.0,2.1115384615384616,258.05,132.6,108.0
364,2562.38,24.0,1.4675675675675675,271.55,132.6,108.0
365,-610.22,15.0,2.7,112.0,86.4,78.0
366,-81.29,15.0,2.66,128.0,86.4,36.0
367,237.95,25.0,2.5,208.0,136.0,168.0
368,373.55,19.0,3.3333333333333335,208.10000000000002,98.8,90.0
369,470.26,21.0,3.2583333333333337,208.10000000000002,98.8,90.0
370,784.98,22.0,2.89375,210.4,98.8,90.0
371,327.29,21.0,3.18125,170.3,98.8,90.0
372,505.31,19.0,2.8129032258064517,173.5,98.8,90.0
